Ind;attribute;category;complete;paired-associate;press-key;recall;what-comes-before
0;18;1307;655;370;565;17;184
1;-1;1161;316;309;126;-1;62
2;-1;-1;676;344;1118;-1;64
3;223;80;277;267;118;14;848
4;1255;1190;677;242;209;13;106
5;413;-1;386;490;958;26;133
6;235;-1;842;577;46;19;197
7;-1;-1;761;224;52;-1;136
8;908;507;534;164;627;21;124
9;-1;1111;570;369;242;11;98
10;301;-1;275;360;-1;16;100
11;741;-1;-1;510;345;37;93
12;755;-1;643;956;36;28;109
13;718;-1;342;214;293;14;1365
14;335;-1;215;97;464;15;116
15;-1;-1;563;316;39;35;100
16;-1;-1;888;798;61;48;120
17;364;223;1310;159;90;35;101
18;321;-1;-1;254;581;11;1297
19;-1;-1;1032;298;41;9;92
20;20;267;-1;142;391;12;93
21;-1;943;528;337;48;14;122
22;-1;-1;318;560;64;13;126
23;-1;473;986;330;47;16;1084
24;833;-1;199;208;26;18;112
25;-1;417;567;389;38;24;128
26;435;-1;628;279;1151;35;104
27;1253;-1;690;799;51;32;93
28;452;-1;688;721;167;14;124
29;-1;-1;120;395;92;11;406
30;-1;-1;304;317;930;41;872
31;251;-1;1105;54;122;-1;69
32;445;-1;555;144;869;20;93
33;-1;-1;557;454;26;23;137
34;-1;1315;251;558;57;33;90
35;-1;-1;374;268;606;22;45
36;-1;-1;266;323;760;28;125
37;10;985;881;205;28;45;134
38;-1;-1;506;183;21;10;74
39;-1;-1;443;750;1091;27;449
40;-1;-1;119;817;130;34;106
41;626;-1;573;247;-1;31;928
42;-1;-1;354;117;55;21;109
43;947;-1;928;107;26;32;93
44;353;-1;671;318;43;30;94
45;-1;300;397;127;533;37;79
46;159;1194;579;192;34;33;80
47;-1;-1;202;286;18;33;98
48;282;-1;-1;234;271;-1;111
49;-1;-1;258;305;171;23;142
50;520;1250;454;773;928;-1;134
51;-1;836;315;945;78;25;106
52;-1;1086;695;316;25;-1;275
53;1215;481;179;372;70;14;112
54;312;-1;688;223;420;23;136
55;-1;-1;132;207;142;18;107
56;55;736;850;518;710;-1;126
57;46;355;274;722;34;26;133
58;345;-1;619;746;106;36;104
59;334;430;785;770;949;23;121
60;161;-1;544;219;454;23;168
61;-1;-1;798;280;211;27;964
62;647;-1;331;732;69;18;106
63;406;149;-1;657;43;17;254
64;-1;-1;-1;324;31;25;108
65;-1;1362;616;290;967;10;111
66;-1;-1;348;186;44;28;144
67;516;1083;735;683;117;16;88
68;210;-1;481;342;102;16;103
69;715;-1;787;158;57;22;124
70;22;-1;367;326;44;29;163
71;338;1050;519;207;-1;21;118
72;1214;-1;539;532;85;9;103
73;-1;-1;669;728;104;49;282
74;-1;-1;789;337;279;21;101
75;106;-1;1112;309;-1;56;97
76;17;1144;956;188;53;24;979
77;234;-1;1086;170;40;27;144
78;171;-1;448;572;56;25;164
79;-1;-1;974;770;289;-1;117
80;359;267;1076;755;577;27;86
81;28;872;202;599;67;13;106
82;1185;-1;252;418;96;26;108
83;-1;-1;384;637;612;10;90
84;-1;1370;1309;475;345;-1;104
85;398;466;775;165;36;37;77
86;129;480;835;382;-1;-1;127
87;1215;-1;445;375;31;41;150
88;293;-1;742;307;63;-1;112
89;34;1133;1309;487;173;21;66
90;1338;-1;304;1222;251;30;143
91;-1;-1;409;219;35;246;103
92;180;-1;503;216;382;25;104
93;-1;-1;438;278;51;24;78
94;63;447;170;217;44;32;154
95;-1;883;508;218;322;22;747
96;526;561;453;192;115;17;149
97;-1;-1;595;1018;61;38;141
98;1282;-1;432;165;46;158;95
99;676;1324;623;187;52;32;1366
